Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 16.67      0.01     0.01  2595600     0.00     0.00  bool std::__equal<true>::equal<int>(int const*, int const*, int const*)
 16.67      0.03     0.01  2595600     0.00     0.00  int std::__memcmp<int, int>(int const*, int const*, unsigned long)
 11.11      0.04     0.01  5228558     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
 11.11      0.05     0.01  4063983     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::base() const
 11.11      0.06     0.01  2595600     0.00     0.00  bool std::operator==<int, std::allocator<int> >(std::vector<int, std::allocator<int> > const&, std::vector<int, std::allocator<int> > const&)
 11.11      0.07     0.01     3611     0.00     0.00  void std::vector<int, std::allocator<int> >::_M_realloc_insert<int>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int&&)
 11.11      0.08     0.01                             _init
  5.56      0.09     0.01  7829234     0.00     0.00  int const* std::__niter_base<int const*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  5.56      0.09     0.01    21263     0.00     0.00  int* std::__niter_wrap<int*>(int* const&, int*)
  0.00      0.09     0.00  5217476     0.00     0.00  std::vector<int, std::allocator<int> >::begin() const
  0.00      0.09     0.00  3949911     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator(int const* const&)
  0.00      0.09     0.00  2621874     0.00     0.00  std::vector<int, std::allocator<int> >::end() const
  0.00      0.09     0.00  2595600     0.00     0.00  bool std::__equal_aux<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
